Sacramento_City_College.f;5553:2.3511004581022523E-4
Berkeley.f;3398:2.349313457678895E-4
1981.f;768:2.3418505813748095E-4
1973.f;723:2.3417081181226958E-4
1900.f;491:2.3379865237479057E-4
Dorms.f;192:2.33602337312752E-4
1934.f;608:2.3347360358458164E-4
English.f;3847:2.3322232296793476E-4
College_of_Agriculture.f;588:2.3313830019433256E-4
UCD_Commencement.f;4279:2.3312567601941527E-4
1905.f;513:2.3303016498312364E-4
Medical_Services.f;111:2.3273705519390137E-4
Bob_Dunning.f;1226:2.3263500540090517E-4
G_Street_Shopping_Center.f;1192:2.325643737033823E-4
1869.f;427:2.3226502006901755E-4
1940.f;563:2.3216199496310072E-4
Campus_Buildings.f;89:2.321455767032689E-4
Student_Judicial_Affairs.f;741:2.315924645189984E-4
Mace_Ranch.f;6797:2.3113244421682237E-4
Rec_Pool.f;700:2.3097349786824247E-4
Wiki_History.f;329:2.309188043354307E-4
Davis_College_Republicans.f;2726:2.308868073162664E-4
Roessler_Hall.f;1705:2.306121518622252E-4
San_Diego.f;13403:2.3016467656275318E-4
Transportation_And_Parking_Services.f;6645:2.3000479985693607E-4
1937.f;606:2.2977421932471686E-4
5th_St..f;1710:2.2937031946703302E-4
Covell_Village.f;5151:2.290561642879865E-4
Compassion_in_Action.f;7662:2.2888517921498938E-4
Slide_Hill_Park.f;6040:2.287811110248848E-4
South_Davis_Bike_Path.f;4054:2.2844894539414819E-4
Boy_Scouts.f;585:2.2832548596539735E-4
1953.f;664:2.2826689095255045E-4
Bus.f;3903:2.2790484927116692E-4
School_of_Education.f;2091:2.27723198116781E-4
1860.f;420:2.2757047863102185E-4
1906.f;511:2.2749040423974875E-4
Recent_Changes.f;2035:2.273713518445907E-4
Crepeville.f;1594:2.2732977465605655E-4
Oakland.f;4462:2.2717293923337989E-4
1956.f;662:2.2708741142984584E-4
1950.f;651:2.268029362248809E-4
1957.f;661:2.266509737757011E-4
College_Life.f;4193:2.2656540032039722E-4
1960.f;678:2.2633258040282296E-4
Yolo_County_Airport.f;1092:2.26028572202673E-4
Judaism.f;702:2.2549933094750106E-4
Supermarkets_%26_Grocery_Stores.f;200:2.2549057202042735E-4
Reg_Card.f;1708:2.2545285676809883E-4
1902.f;515:2.253455892931286E-4
Pirate_Ship.f;4252:2.2524950671725015E-4
Toomey_Field.f;623:2.2501554976465905E-4
Graduates_of_the_Davis_Joint_Unified_School_District.f;7762:2.2490272082984833E-4
Oak_Avenue.f;339:2.247584835616357E-4
1939.f;609:2.2470393668732108E-4
1904.f;514:2.245464118581002E-4
Student_Recruitment_and_Retention_Center.f;2769:2.2432306034722314E-4
Primate_Center.f;5610:2.242938668622839E-4
Park_Place.f;4927:2.2419142842471654E-4
1866.f;426:2.2398464379518317E-4
Del_Taco.f;5119:2.2318852097097874E-4
1913.f;533:2.231316073306052E-4
Yolo_County_Health_Department.f;8156:2.2295518010571208E-4
1952.f;665:2.2268097289833424E-4
Arboretum_Terrace.f;925:2.223988834465406E-4
Campus_Crusade_for_Chaos_and_Confusion.f;941:2.2233240142350525E-4
